X-group,Structrually Altered,Structrually Retained,N,Domain Size,Expected Structrually Altered,Expected Structrually Retained,Chi Sq P-value
LEM/SAP HeH motif-like,0,2,2,32,0.155543092,1.844456908,0.681305424
DnaJ/Hsp40 cysteine-rich domain,2,0,2,70,0.155543092,1.844456908,1.12E-06
Dihydrofolate reductases,0,2,2,202,0.155543092,1.844456908,0.681305424
Alkaline phosphatase-like,1,1,2,292,0.155543092,1.844456908,0.025771992
DnaD domain,0,2,2,138,0.155543092,1.844456908,0.681305424
ssDNA-binding transcriptional regulator domain-like,0,2,2,54,0.155543092,1.844456908,0.681305424
alpha-helical domain in AF1104-like proteins,0,2,2,111,0.155543092,1.844456908,0.681305424
H-NOX domain,1,1,2,144.5,0.155543092,1.844456908,0.025771992
"Ribosomal protein L7/12, oligomerisation (N-terminal) domain",0,2,2,50,0.155543092,1.844456908,0.681305424
Rossmann-like domains in Sec1/munc18-like proteins,0,2,2,136,0.155543092,1.844456908,0.681305424
SMI1/KNR4-like,1,1,2,83.5,0.155543092,1.844456908,0.025771992
"ATP synthase (F1-ATPase), gamma subunit",2,0,2,275,0.155543092,1.844456908,1.12E-06
a/b domain in Acetophenone carboxylase (Apc) alpha subunit,0,2,2,159,0.155543092,1.844456908,0.681305424
Ribosomal protein L39e,0,2,2,48,0.155543092,1.844456908,0.681305424
CCCH zinc finger,0,1,1,26,0.077771546,0.922228454,0.771513059
"Regulator of G-protein signaling, RGS",0,1,1,30,0.077771546,0.922228454,0.771513059
C-terminal domain in RNA helicases,0,1,1,35,0.077771546,0.922228454,0.771513059
beta-Trefoil,1,0,1,180,0.077771546,0.922228454,0.000574088
Prim-pol domain,0,1,1,183,0.077771546,0.922228454,0.771513059
F-box domain,1,0,1,102,0.077771546,0.922228454,0.000574088
C-terminal subdomain in Lon-related proteases catalytic domains,0,1,1,73,0.077771546,0.922228454,0.771513059
Nucleoside hydrolase,0,1,1,325,0.077771546,0.922228454,0.771513059
Head domain of nucleotide exchange factor GrpE,0,1,1,56,0.077771546,0.922228454,0.771513059
GYF/BRK domain-like,0,1,1,59,0.077771546,0.922228454,0.771513059
HLH-like,0,1,1,51,0.077771546,0.922228454,0.771513059
Cell cycle regulatory proteins,0,1,1,77,0.077771546,0.922228454,0.771513059
Synaptobrevin,1,0,1,67,0.077771546,0.922228454,0.000574088
Acidic mitochondrial matrix protein p32-like,1,0,1,211,0.077771546,0.922228454,0.000574088
"Hypothetical protein YjiA, C-terminal domain",0,1,1,59,0.077771546,0.922228454,0.771513059
"Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain",1,0,1,54,0.077771546,0.922228454,0.000574088
N-terminal subdomain in DNA replication initiator (cdc21/cdc54),0,1,1,67,0.077771546,0.922228454,0.771513059
"Alpha-helical domain in eukaryotic DNA topoisomerase I, N-terminal DNA-binding fragment",0,1,1,78,0.077771546,0.922228454,0.771513059
Preprotein translocase SecE subunit,1,0,1,55,0.077771546,0.922228454,0.000574088
EKC/KEOPS complex subunit GON7,0,1,1,53,0.077771546,0.922228454,0.771513059
SurE-like/CoA-transferase family III (CaiB/BaiF),0,1,1,210,0.077771546,0.922228454,0.771513059
DH domain-like,0,1,1,192,0.077771546,0.922228454,0.771513059
Mediator of RNA polymerase II transcription subunit 22,0,1,1,118,0.077771546,0.922228454,0.771513059
NADPH-cytochrome p450 reductase helical insertion domain,0,1,1,119,0.077771546,0.922228454,0.771513059
Eukaryotic translation initiation factor 3 subunit 1,0,1,1,60,0.077771546,0.922228454,0.771513059
Mitochondrial ADP/ATP carrier-like,0,1,1,291,0.077771546,0.922228454,0.771513059
ATPD N-terminal domain-like,0,1,1,159,0.077771546,0.922228454,0.771513059
Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain,0,1,1,272,0.077771546,0.922228454,0.771513059
Helical arch in Ski2-like helicases,0,1,1,84,0.077771546,0.922228454,0.771513059
Major facilitator superfamily (MFS) general substrate transporter,0,1,1,209,0.077771546,0.922228454,0.771513059
mRNA decapping enzyme DcpS N-terminal domain,0,1,1,117,0.077771546,0.922228454,0.771513059
Obg GTP-binding protein C-terminal domain-like,1,0,1,77,0.077771546,0.922228454,0.000574088
Proteasome assembling chaperone 3 (PAC3)-related,0,1,1,140,0.077771546,0.922228454,0.771513059
Tim10/DDP,1,0,1,50,0.077771546,0.922228454,0.000574088
PX domain,0,1,1,111,0.077771546,0.922228454,0.771513059
Domain of the SRP/SRP receptor G proteins-like,1,0,1,67,0.077771546,0.922228454,0.000574088
"Sulfite reductase hemoprotein (SiRHP), domains 2 and 4",0,1,1,128,0.077771546,0.922228454,0.771513059
The spindle assembly checkpoint protein mad2,1,0,1,190,0.077771546,0.922228454,0.000574088
CRISPR-associated endonuclease Cpf1 second helical domain,0,1,1,71,0.077771546,0.922228454,0.771513059
RPL28,1,0,1,114,0.077771546,0.922228454,0.000574088
ClpS-like,0,1,1,67,0.077771546,0.922228454,0.771513059
Epsilon subunit of F1F0-ATP synthase-N,0,1,1,84,0.077771546,0.922228454,0.771513059
THUMP domain-like,0,1,1,64,0.077771546,0.922228454,0.771513059
Integral membrane Acyl-CoA desaturase,1,0,1,276,0.077771546,0.922228454,0.000574088
Preprotein translocase SecY subunit,1,0,1,459,0.077771546,0.922228454,0.000574088
Sec7 domain,0,1,1,185,0.077771546,0.922228454,0.771513059
Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex,0,1,1,39,0.077771546,0.922228454,0.771513059
MoeA-I/Ornithine decarboxylase-C/Reverse ferredoxin-like domain in RNA-polymerase,0,1,1,75,0.077771546,0.922228454,0.771513059
Golgi phosphoprotein 3,1,0,1,273,0.077771546,0.922228454,0.000574088
Seb1 domain 2,0,1,1,58,0.077771546,0.922228454,0.771513059
"PTS-regulatory domain, PRD",0,1,1,73,0.077771546,0.922228454,0.771513059
,,,,,,,
